Toll Date,Detection Group,Vehicle Class,CRZ Entries
2025-01-10,Queens Midtown Tunnel,5 - Motorcycles,27
2025-01-10,Queens Midtown Tunnel,TLC Taxi/FHV,16344
2025-01-10,Queensboro Bridge,"1 - Cars, Pickups and Vans",19598
2025-01-10,Queensboro Bridge,2 - Single-Unit Trucks,2742
2025-01-10,Queensboro Bridge,3 - Multi-Unit Trucks,315
2025-01-10,Queensboro Bridge,4 - Buses,400
2025-01-10,Queensboro Bridge,5 - Motorcycles,134
2025-01-10,Queensboro Bridge,TLC Taxi/FHV,14313
2025-01-10,West 60th St,"1 - Cars, Pickups and Vans",13275
2025-01-10,West 60th St,2 - Single-Unit Trucks,2633
2025-01-10,West 60th St,3 - Multi-Unit Trucks,236
2025-01-10,West 60th St,4 - Buses,1107
2025-01-10,West 60th St,5 - Motorcycles,393
2025-01-10,West 60th St,TLC Taxi/FHV,21972
2025-01-10,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",31175
2025-01-10,West Side Highway at 60th St,2 - Single-Unit Trucks,487
2025-01-10,West Side Highway at 60th St,3 - Multi-Unit Trucks,8
2025-01-10,West Side Highway at 60th St,4 - Buses,665
2025-01-10,West Side Highway at 60th St,5 - Motorcycles,53
